imgUrl,l1,l2,grass_region,MTD ADO,MTD ADG,MoM ADO,MoM ADG
https://cf.shopee.com.br/file/sg-11134201-822x0-mhy3xglkdp1gac,美术用品,画笔,巴西,1.75,7.6,1.1,0.9
https://cf.shopee.com.br/file/sg-11134201-7rasv-ma9nr1nqwies3c,美术用品,画笔,巴西,1.71,16.88,-0.44,-0.35
https://cf.shopee.com.br/file/sg-11134301-7rfgk-m9kbt1izcukg10,美术用品,画笔,巴西,1.69,43.74,-0.17,0.11
https://cf.shopee.com.br/file/cn-11134207-820l4-mil111eadafbf6,美术用品,画笔,巴西,1.63,22.38,0.25,0.16
https://cf.shopee.com.br/file/cn-11134207-820l4-mhjz6bh4ivig01,美术用品,画笔,巴西,1.5,9.25,2.75,2.53
https://cf.shopee.com.br/file/sg-11134201-825zt-mllkui73b8qrd1,美术用品,画笔,巴西,1.5,8.93,5.43,8.47
https://cf.shopee.com.br/file/cn-11134207-820l4-mlrkdtjee1acf8,美术用品,画笔,巴西,1.33,22.53,-0.22,-0.09
https://cf.shopee.com.br/file/sg-11134201-7rav7-mb7qqm16audsab,美术用品,画笔,巴西,1.25,5.96,0.79,0.5
https://cf.shopee.com.br/file/cn-11134207-7ras8-m9u1fxczn82a4a,美术用品,画笔,巴西,1.25,4.37,3.17,2.19
https://cf.shopee.com.br/file/sg-11134201-82605-mllj0p7fetjc86,美术用品,画笔,巴西,1.25,5.06,5.25,4.88
https://cf.shopee.com.br/file/cn-11134207-7ras8-m2ufylavhb7xf2,美术用品,画笔,巴西,1.25,5.68,1.34,1.36
https://cf.shopee.com.br/file/sg-11134201-82608-mllim9ztvc3l01,美术用品,画笔,巴西,1.25,5.26,8.38,10.53
https://cf.shopee.com.br/file/sg-11134201-81zvv-mmyaw7t2vx8j77,美术用品,画笔,巴西,1.25,18.15,8.38,7.54
https://cf.shopee.com.br/file/sg-11134201-822y1-mhvzfv2xwp34a3,美术用品,画笔,巴西,1.13,6.56,0.12,-0.16
https://cf.shopee.com.br/file/sg-11134201-820ly-mncm1pb289hd50,美术用品,画笔,巴西,1.13,12.13,0.36,0.89
https://cf.shopee.com.br/file/sg-11134201-7ra0j-m4u1ba6bdv8r69,美术用品,画笔,巴西,1,7.08,1.5,1.48
https://cf.shopee.com.br/file/cn-11134207-820l4-mhbo56u6znkb99,美术用品,画笔,巴西,1,6.65,-0.21,-0.2
https://cf.shopee.com.br/file/sg-11134201-22110-nzh7tnjbqfjv3e,美术用品,画笔,巴西,1,13.54,2,3.13
https://cf.shopee.com.br/file/sg-11134201-7qver-lfsddrg4ppau03,美术用品,画笔,巴西,1,4.63,1.5,1.17
https://cf.shopee.com.br/file/sg-11134201-7reoh-m825ulybx21u76,美术用品,画笔,巴西,1,14.64,0.18,-0.01
https://cf.shopee.com.br/file/sg-11134201-7rbk0-lkyvadd63n7sa5,美术用品,画笔,巴西,0.92,5.87,0,0.15
https://cf.shopee.com.br/file/cn-11134207-7ras8-manmnd3fs88c11,美术用品,画笔,巴西,0.83,9.41,-0.47,-0.51
https://cf.shopee.com.br/file/sg-11134253-825zk-mm5logdh2tqc64,美术用品,画笔,巴西,0.75,9.25,2.75,2.23
https://cf.shopee.com.br/file/sg-11134201-8225s-mhu8zmy9yd4x9e,美术用品,画笔,巴西,0.75,5.04,2,1.89
https://cf.shopee.com.br/file/sg-11134201-7rdvl-mcuabswm4gg0b5,美术用品,画笔,巴西,0.75,12.89,-0.53,-0.46
https://cf.shopee.com.br/file/cn-11134207-7ras8-mca6szsequ24ae,美术用品,画笔,巴西,0.75,10.5,-0.66,-0.67
https://cf.shopee.com.br/file/sg-11134201-7rdya-mcal2wn4zinrdf,美术用品,画笔,巴西,0.71,8.13,-0.43,-0.36
https://cf.shopee.com.br/file/cn-11134207-820l4-mfuieqo72y301a,美术用品,画笔,巴西,0.5,7.08,-0.36,-0.34
https://cf.shopee.com.br/file/sg-11134201-820li-mnjpqmc8ent1de,美术用品,画笔,巴西,0.5,6.68,,
https://cf.shopee.com.br/file/ef78e400a7564f1d8fa8bc9c39d5524f,美术用品,画笔,巴西,0.5,8.98,0.2,1
https://cf.shopee.com.br/file/cn-11134207-820l4-mipqnqrelukga8,美术用品,画笔,巴西,0.5,6.9,-0.55,-0.57
https://cf.shopee.com.br/file/bc0ef42729356aa471a5233ca96bc3a2,美术用品,画笔,巴西,0.25,7.66,0.5,0.68
